Date,Price,Open,High,Low,Vol.,Change %
6/5/18,14831.70,15083.00,15133.30,14706.00,23.47M,-0.02
6/6/18,15284.10,14881.90,15334.40,14706.00,23.24M,0.03
6/7/18,15560.70,15334.40,15686.40,15284.10,20.88M,0.02
6/8/18,15409.80,15585.80,15585.80,15384.70,13.80M,-0.01
6/11/18,15233.90,15334.40,15510.40,15208.70,30.82M,-0.01
6/12/18,14957.30,15590.80,15590.80,14675.80,29.00M,-0.02
6/13/18,15274.10,14922.10,15344.50,14886.90,10.04M,0.02
6/14/18,14992.50,15414.90,15643.60,14974.90,18.00M,-0.02
6/15/18,15133.30,14957.30,15133.30,14711.00,13.20M,0.01
6/18/18,14147.90,15027.70,15027.70,14147.90,20.23M,-0.07
6/19/18,13496.80,13655.20,13901.50,13197.60,36.04M,-0.05
6/20/18,14077.50,13725.60,14077.50,13303.20,15.79M,0.04
6/21/18,13813.50,14059.90,14059.90,13725.60,10.62M,-0.02
6/22/18,14411.80,13725.60,14411.80,13655.20,19.65M,0.04
6/25/18,14605.40,14781.40,14834.20,14447.00,9.48M,0.01
6/26/18,14464.60,14288.70,14482.20,14077.50,7.32M,-0.01
6/27/18,13901.50,14394.20,14482.20,13901.50,9.24M,-0.04
6/28/18,13672.80,13655.20,14007.10,13584.80,11.66M,-0.02
6/29/18,13514.40,13655.20,13795.90,13356.00,14.16M,-0.01
7/2/18,13514.40,13373.60,13549.60,13021.70,17.04M,0.00
7/3/18,12775.30,13514.40,13655.20,12775.30,15.94M,-0.05
7/4/18,13056.90,12951.30,13180.10,12740.10,10.32M,0.02
7/5/18,12704.90,13056.90,13197.60,12599.40,11.63M,-0.03
7/6/18,12951.30,12687.30,13303.20,12388.20,14.45M,0.02
7/9/18,12564.20,13197.60,13197.60,12458.60,10.53M,-0.03
7/10/18,12493.80,12493.80,12704.90,12493.80,8.28M,-0.01
7/11/18,12106.60,12282.60,12458.60,11895.50,19.24M,-0.03
7/12/18,11877.90,11719.50,12018.70,11684.30,9.11M,-0.02
7/13/18,12529.00,12036.30,12546.60,11983.50,12.95M,0.05
7/16/18,12493.80,12704.90,12757.70,12441.00,9.11M,0.00
7/17/18,12704.90,12317.80,12722.50,12317.80,9.25M,0.02
7/18/18,13092.10,12775.30,13144.90,12704.90,17.33M,0.03
7/19/18,13092.10,13180.10,13285.60,13056.90,9.62M,0.00
7/20/18,12916.10,12951.30,13021.70,12757.70,13.62M,-0.01
7/23/18,13004.10,13056.90,13232.80,12880.90,15.32M,0.01
7/24/18,12458.60,12986.50,13004.10,12353.00,33.53M,-0.04
7/25/18,12493.80,12458.60,12599.40,12388.20,15.67M,0.00
7/26/18,12845.70,12493.80,12845.70,12458.60,22.50M,0.03
7/27/18,13127.30,12933.70,13144.90,12792.90,13.17M,0.02
7/30/18,13039.30,13232.80,13303.20,12986.50,16.54M,-0.01
7/31/18,13144.90,12986.50,13250.40,12863.30,15.80M,0.01
8/1/18,13232.80,13162.50,13426.40,13127.30,18.78M,0.01
8/2/18,13109.70,13197.60,13197.60,12845.70,16.63M,-0.01
8/3/18,12775.30,13197.60,13215.20,12775.30,16.29M,-0.03
8/6/18,12722.50,12792.90,12792.90,12529.00,12.72M,0.00
8/7/18,12722.50,12722.50,12722.50,12599.40,13.32M,0.00
8/8/18,12916.10,12740.10,12968.90,12704.90,9.40M,0.02
8/9/18,12863.30,12986.50,13092.10,12845.70,12.56M,0.00
8/10/18,13021.70,12828.10,13056.90,12828.10,11.52M,0.01
8/13/18,13479.20,12986.50,13496.80,12916.10,31.21M,0.04
8/14/18,13549.60,13549.60,13690.40,13461.60,14.55M,0.01
8/15/18,13197.60,13549.60,13637.60,13127.30,12.83M,-0.03
8/16/18,13197.60,13021.70,13268.00,13004.10,19.15M,0.00
8/17/18,13268.00,13338.40,13444.00,13180.10,10.25M,0.01
8/20/18,13109.70,13268.00,13268.00,13074.50,9.70M,-0.01
8/21/18,13197.60,13056.90,13197.60,13039.30,9.37M,0.01
8/22/18,13373.60,13232.80,13514.40,13180.10,16.58M,0.01
8/23/18,13408.80,13338.40,13496.80,13338.40,10.54M,0.00
8/24/18,13496.80,13373.60,13514.40,13303.20,15.54M,0.01
8/27/18,13708.00,13584.80,13831.10,13549.60,14.97M,0.02
8/28/18,14042.30,13725.60,14147.90,13725.60,30.15M,0.02
8/29/18,13936.70,14077.50,14306.30,13936.70,18.83M,-0.01
8/30/18,13954.30,13936.70,14007.10,13778.30,17.65M,0.00
8/31/18,14059.90,14007.10,14200.70,13936.70,16.79M,0.01
9/4/18,13725.60,13971.90,14042.30,13725.60,12.25M,-0.02
9/5/18,13584.80,13655.20,13813.50,13549.60,12.68M,-0.01
9/6/18,13602.40,13584.80,13795.90,13549.60,12.28M,0.00
9/7/18,13971.90,13584.80,14007.10,13584.80,14.80M,0.03
9/10/18,13795.90,13954.30,14007.10,13795.90,7.05M,-0.01
9/11/18,14077.50,13743.20,14147.90,13743.20,18.94M,0.02
9/12/18,13901.50,14112.70,14165.50,13901.50,15.35M,-0.01
9/13/18,13989.50,13971.90,14165.50,13901.50,13.01M,0.01
9/14/18,13901.50,14007.10,14095.10,13901.50,12.74M,-0.01
9/17/18,13883.90,13831.10,13954.30,13778.30,6.50M,0.00
9/18/18,13883.90,13795.90,13883.90,13655.20,19.94M,0.00
9/19/18,13954.30,14007.10,14042.30,13936.70,12.29M,0.01
9/20/18,14394.20,14042.30,14394.20,13971.90,27.31M,0.03
9/21/18,14535.00,14429.40,14570.20,14306.30,39.08M,0.01
9/24/18,14535.00,14675.80,14675.80,14464.60,12.13M,0.00
9/25/18,14517.40,14429.40,14570.20,14376.60,12.25M,0.00
9/26/18,14429.40,14517.40,14587.80,14429.40,13.73M,-0.01
9/27/18,14623.00,14499.80,14640.60,14464.60,15.31M,0.01
9/28/18,14886.90,14640.60,14904.50,14605.40,26.33M,0.02
10/1/18,14922.10,14886.90,15115.70,14799.00,18.66M,0.00
10/2/18,14535.00,14693.40,14799.00,14482.20,29.03M,-0.03
10/3/18,14535.00,14429.40,14640.60,14429.40,13.67M,0.00
10/4/18,14570.20,14499.80,14570.20,14394.20,32.60M,0.00
10/5/18,14587.80,14570.20,14746.20,14499.80,16.56M,0.00
10/8/18,14499.80,14499.80,14587.80,14447.00,10.24M,-0.01
10/9/18,14429.40,14605.40,14605.40,14429.40,10.15M,0.00
10/10/18,14570.20,14464.60,14693.40,14411.80,18.46M,0.01
10/11/18,14042.30,14112.70,14288.70,13831.10,43.78M,-0.04
10/12/18,14359.00,13866.30,14359.00,13866.30,18.06M,0.02
10/15/18,14200.70,14323.80,14323.80,14147.90,11.55M,-0.01
10/16/18,14341.40,14200.70,14341.40,14200.70,7.96M,0.01
10/17/18,14429.40,14499.80,14517.40,14376.60,14.03M,0.01
10/18/18,14429.40,14429.40,14482.20,14323.80,11.18M,0.00
10/19/18,14341.40,14323.80,14447.00,14218.30,13.67M,-0.01
10/22/18,14112.70,14359.00,14411.80,14112.70,7.02M,-0.02
10/23/18,13901.50,14059.90,14059.90,13690.40,27.41M,-0.02
10/24/18,13795.90,13795.90,14042.30,13795.90,14.27M,-0.01
10/25/18,13725.60,13373.60,13778.30,13320.80,19.83M,-0.01
10/26/18,13690.40,13831.10,13936.70,13690.40,14.09M,0.00
10/29/18,13672.80,13602.40,13690.40,13584.80,12.21M,0.00
10/30/18,13620.00,13584.80,13848.70,13584.80,7.35M,0.00
10/31/18,14165.50,13760.70,14165.50,13743.20,11.61M,0.04
11/1/18,13936.70,14042.30,14059.90,13866.30,6.14M,-0.02
11/2/18,14077.50,14077.50,14130.30,14007.10,9.84M,0.01
11/5/18,14077.50,13936.70,14077.50,13901.50,6.12M,0.00
11/6/18,13936.70,14112.70,14130.30,13936.70,4.65M,-0.01
11/7/18,13778.30,13936.70,14007.10,13778.30,7.70M,-0.01
11/8/18,13690.40,14024.70,14024.70,13690.40,7.67M,-0.01
11/9/18,13232.80,13584.80,13672.80,13232.80,15.63M,-0.03
11/12/18,13215.20,13232.80,13285.60,13074.50,7.68M,0.00
11/13/18,12986.50,13021.70,13127.30,12951.30,14.79M,-0.02
11/14/18,12599.40,12968.90,12968.90,12405.80,22.65M,-0.03
11/15/18,12317.80,12493.80,12652.10,12229.80,18.70M,-0.02
11/16/18,12388.20,12493.80,12564.20,12335.40,6.36M,0.01
11/19/18,12476.20,12493.80,12599.40,12370.60,4.56M,0.01
11/20/18,12845.70,12529.00,12898.50,12458.60,15.63M,0.03
11/21/18,12845.70,12687.30,12951.30,12669.70,10.42M,0.00
11/22/18,12599.40,12880.90,12933.70,12599.40,7.51M,-0.02
11/23/18,12511.40,12599.40,12669.70,12493.80,5.63M,-0.01
11/26/18,12529.00,12529.00,12740.10,12511.40,6.78M,0.00
11/27/18,12529.00,12599.40,12740.10,12529.00,5.19M,0.00
11/28/18,12388.20,12564.20,12617.00,12300.20,11.20M,-0.01
11/29/18,12036.30,12458.60,12546.60,12036.30,11.11M,-0.03
11/30/18,11684.30,11965.90,11965.90,11684.30,20.45M,-0.03
12/3/18,12247.40,11965.90,12317.80,11965.90,10.32M,0.05
12/4/18,12177.00,12317.80,12388.20,12053.90,11.80M,-0.01
12/5/18,12423.40,12089.00,12493.80,12053.90,22.15M,0.02
12/6/18,12177.00,12353.00,12458.60,12141.80,12.68M,-0.02
12/7/18,12194.60,12282.60,12317.80,12159.40,9.21M,0.00
12/10/18,11877.90,12141.80,12177.00,11842.70,14.78M,-0.03
12/11/18,11772.30,11825.10,11948.30,11543.50,19.11M,-0.01
12/12/18,11825.10,11789.90,11877.90,11613.90,9.81M,0.00
12/13/18,11965.90,11913.10,12001.10,11860.30,15.00M,0.01
12/14/18,11789.90,11948.30,11948.30,11754.70,10.58M,-0.01
12/17/18,11402.80,11789.90,11789.90,11402.80,12.27M,-0.03
12/18/18,10945.30,11156.40,11279.60,10786.90,22.34M,-0.04
12/19/18,10452.50,10945.30,11050.80,10206.20,30.03M,-0.05
12/20/18,10540.50,10417.30,10610.90,10311.80,16.70M,0.01
12/21/18,10540.50,10311.80,10558.10,10311.80,12.21M,0.00
12/24/18,10734.10,10540.50,10734.10,10540.50,8.93M,0.02
12/25/18,10698.90,10434.90,10698.90,10188.60,13.14M,0.00
12/26/18,10663.70,10698.90,10698.90,10470.10,10.48M,0.00
12/27/18,10892.50,10857.30,10945.30,10663.70,13.34M,0.02
12/28/18,10892.50,10839.70,10892.50,10734.10,20.46M,0.00
1/2/19,10839.70,10874.90,11068.40,10839.70,11.49M,0.00
1/3/19,10382.20,10822.10,10874.90,10382.20,18.83M,-0.04
1/4/19,10452.50,10347.00,10558.10,10100.60,15.99M,0.01
1/7/19,10329.40,10663.70,10681.30,10259.00,6.81M,-0.01
1/8/19,10153.40,10347.00,10382.20,10100.60,8.63M,-0.02
1/9/19,10382.20,10206.20,10487.70,10206.20,5.14M,0.02
1/10/19,10487.70,10417.30,10593.30,10382.20,4.88M,0.01
1/11/19,10329.40,10487.70,10522.90,10329.40,7.28M,-0.02
1/14/19,10311.80,10347.00,10364.60,10153.40,8.83M,0.00
1/15/19,10311.80,10311.80,10417.30,10259.00,7.23M,0.00
1/16/19,10364.60,10347.00,10434.90,10259.00,8.16M,0.01
1/17/19,10171.00,10364.60,10364.60,10171.00,5.36M,-0.02
1/18/19,10276.60,10311.80,10364.60,10259.00,5.81M,0.01
1/21/19,10399.70,10311.80,10470.10,10276.60,5.25M,0.01
1/22/19,10382.20,10452.50,10505.30,10364.60,4.56M,0.00
1/23/19,10575.70,10347.00,10698.90,10329.40,10.37M,0.02
1/24/19,10505.30,10593.30,10698.90,10505.30,6.54M,-0.01
1/25/19,10452.50,10558.10,10593.30,10399.70,4.41M,-0.01
1/28/19,10470.10,10487.70,10487.70,10417.30,4.69M,0.00
1/29/19,10452.50,10505.30,10505.30,10382.20,4.97M,0.00
1/30/19,10206.20,10417.30,10417.30,10153.40,18.52M,-0.02
1/31/19,9748.70,10206.20,10259.00,9713.50,19.63M,-0.04
2/1/19,9607.90,9801.50,9924.60,9502.30,19.44M,-0.01
2/11/19,10171.00,9766.30,10171.00,9713.50,7.77M,0.06
2/12/19,10382.20,10171.00,10505.30,10118.20,21.77M,0.02
2/13/19,10874.90,10382.20,10945.30,10382.20,30.33M,0.05
2/14/19,10910.10,10874.90,11015.60,10839.70,17.67M,0.00
2/15/19,11121.20,10910.10,11438.00,10839.70,25.53M,0.02
2/18/19,11314.80,11297.20,11455.60,11244.40,17.45M,0.02
2/19/19,11156.40,11420.40,11438.00,11138.80,16.17M,-0.01
2/20/19,11332.40,11156.40,11367.60,11138.80,16.09M,0.02
2/21/19,11508.40,11367.60,11508.40,11226.80,16.45M,0.02
2/22/19,11930.70,11490.80,11948.30,11455.60,22.64M,0.04
2/25/19,12247.40,12124.20,12511.40,12036.30,32.26M,0.03
2/26/19,12141.80,12247.40,12458.60,12053.90,20.21M,-0.01
2/27/19,12106.60,12300.20,12300.20,12018.70,13.69M,0.00
2/28/19,11825.10,12159.40,12177.00,11825.10,19.04M,-0.02
3/1/19,12053.90,11825.10,12053.90,11825.10,12.62M,0.02
3/4/19,12441.00,12229.80,12441.00,12212.20,13.74M,0.03
3/5/19,12335.40,12353.00,12529.00,12300.20,15.62M,-0.01
3/6/19,12317.80,12317.80,12388.20,12106.60,9.24M,0.00
3/7/19,12001.10,12317.80,12335.40,12001.10,12.47M,-0.03
3/8/19,11948.30,11789.90,12071.50,11754.70,12.74M,0.00
3/11/19,11895.50,12036.30,12036.30,11825.10,13.30M,0.00
3/12/19,11913.10,12001.10,12018.70,11860.30,14.41M,0.00
3/13/19,12089.00,11965.90,12089.00,11930.70,8.76M,0.01
3/14/19,12036.30,12089.00,12194.60,11930.70,12.27M,0.00
3/15/19,11226.80,11613.90,11649.10,11209.20,46.62M,-0.07
3/18/19,11209.20,11086.00,11402.80,10751.70,28.96M,0.00
3/19/19,11226.80,11191.60,11244.40,10945.30,20.22M,0.00
3/20/19,11367.60,11086.00,11473.20,11086.00,15.40M,0.01
3/21/19,11262.00,11367.60,11420.40,11244.40,7.50M,-0.01
3/22/19,11244.40,11297.20,11332.40,11209.20,11.48M,0.00
3/25/19,11050.80,10945.30,11138.80,10945.30,10.23M,-0.02
3/26/19,11121.20,11121.20,11174.00,11015.60,9.63M,0.01
3/27/19,11385.20,11226.80,11385.20,11138.80,6.95M,0.02
3/28/19,11420.40,11314.80,11420.40,11297.20,6.88M,0.00
3/29/19,11332.40,11455.60,11508.40,11226.80,17.89M,-0.01
4/1/19,11244.40,11279.60,11332.40,11226.80,10.05M,-0.01
4/2/19,11297.20,11332.40,11350.00,11244.40,4.92M,0.00
4/3/19,11297.20,11262.00,11314.80,11226.80,10.34M,0.00
4/4/19,11402.80,11314.80,11402.80,11262.00,7.57M,0.01
4/5/19,11438.00,11402.80,11490.80,11350.00,5.03M,0.00
4/8/19,11402.80,11438.00,11490.80,11367.60,3.78M,0.00
4/9/19,11297.20,11420.40,11438.00,11262.00,7.90M,-0.01
4/10/19,11244.40,11262.00,11279.60,11138.80,6.04M,0.00
4/11/19,11244.40,11262.00,11279.60,11209.20,4.15M,0.00
4/12/19,11279.60,11244.40,11279.60,11209.20,4.32M,0.00
4/16/19,11174.00,11226.80,11262.00,11103.60,4.23M,-0.01
4/17/19,11121.20,11174.00,11209.20,11086.00,5.09M,0.00
4/18/19,11015.60,11050.80,11103.60,11015.60,6.54M,-0.01
4/19/19,11121.20,11033.20,11156.40,11033.20,3.32M,0.01
4/22/19,11209.20,11033.20,11297.20,11033.20,4.99M,0.01
4/23/19,11226.80,11262.00,11262.00,11209.20,4.62M,0.00
4/24/19,11737.10,11262.00,11737.10,11226.80,15.88M,0.05
4/25/19,11649.10,11789.90,11842.70,11613.90,11.21M,-0.01
4/26/19,11825.10,11684.30,11895.50,11649.10,7.72M,0.02
5/2/19,11965.90,11860.30,11965.90,11719.50,10.42M,0.01
5/3/19,12018.70,11965.90,12106.60,11860.30,9.57M,0.00
5/6/19,11772.30,11754.70,11895.50,11684.30,12.32M,-0.02
5/7/19,11789.90,11895.50,11895.50,11754.70,7.72M,0.00
5/8/19,11666.70,11701.90,11719.50,11613.90,7.70M,-0.01
5/9/19,11578.70,11631.50,11701.90,11473.20,5.78M,-0.01
5/10/19,11561.10,11649.10,11684.30,11473.20,5.23M,0.00
5/13/19,11279.60,11596.30,11596.30,11262.00,10.43M,-0.02
5/14/19,11402.80,11156.40,11402.80,11156.40,4.98M,0.01
5/15/19,11402.80,11402.80,11508.40,11367.60,6.95M,0.00
5/16/19,11367.60,11420.40,11508.40,11367.60,3.77M,0.00
5/17/19,11350.00,11367.60,11402.80,11332.40,4.08M,0.00
5/20/19,11543.50,11350.00,11631.50,11350.00,6.07M,0.02
5/21/19,11578.70,11596.30,11684.30,11543.50,5.88M,0.00
5/22/19,11613.90,11613.90,11754.70,11578.70,6.88M,0.00
5/23/19,11525.90,11613.90,11631.50,11490.80,6.94M,-0.01
5/24/19,11314.80,11438.00,11490.80,11314.80,10.04M,-0.02
5/27/19,11332.40,11297.20,11385.20,11297.20,4.65M,0.00
5/28/19,11279.60,11438.00,11438.00,11279.60,7.77M,0.00
5/29/19,11438.00,11367.60,11438.00,11279.60,4.55M,0.01
5/30/19,11262.00,11438.00,11438.00,11244.40,11.48M,-0.02
5/31/19,11297.20,11262.00,11332.40,11262.00,9.29M,0.00
6/3/19,11086.00,11279.60,11297.20,11050.80,33.61M,-0.02
6/4/19,11117.70,11255.00,11346.50,11003.30,7.03M,0.00
6/5/19,10888.90,11163.40,11300.70,10843.20,6.29M,-0.02
6/6/19,10385.70,10934.70,10934.70,10225.50,14.92M,-0.05
6/7/19,10500.00,10522.90,10660.20,10454.30,10.74M,0.01
6/10/19,10477.20,10637.30,10705.90,10454.30,13.83M,0.00
6/11/19,10522.90,10522.90,10614.40,10385.70,9.29M,0.00
6/12/19,10568.70,10477.20,10637.30,10454.30,6.60M,0.00
6/13/19,10522.90,10705.90,10705.90,10477.20,5.31M,0.00
6/14/19,10500.00,10522.90,10545.80,10500.00,4.36M,0.00
6/17/19,10271.30,10500.00,10522.90,10271.30,7.67M,-0.02
6/18/19,10545.80,10271.30,10568.70,10271.30,10.65M,0.03
6/19/19,10911.80,10728.80,10911.80,10660.20,17.62M,0.03
6/20/19,10797.40,11026.20,11026.20,10797.40,9.20M,-0.01
6/21/19,10843.20,10934.70,10934.70,10797.40,9.33M,0.00
6/24/19,10683.10,10888.90,11003.30,10660.20,6.51M,-0.01
6/25/19,10568.70,10614.40,10705.90,10522.90,6.92M,-0.01
6/26/19,10477.20,10545.80,10637.30,10477.20,4.01M,-0.01
6/27/19,10317.00,10477.20,10500.00,10317.00,7.91M,-0.02
6/28/19,10751.70,10317.00,10751.70,10271.30,8.26M,0.04
7/1/19,10522.90,10614.40,10660.20,10431.40,8.08M,-0.02
7/2/19,10339.90,10522.90,10522.90,10317.00,10.06M,-0.02
7/3/19,10134.00,10339.90,10362.80,10111.20,13.30M,-0.02
7/4/19,10202.70,10065.40,10294.20,10065.40,10.65M,0.01
7/5/19,10202.70,10202.70,10271.30,10134.00,6.46M,0.00
7/8/19,9951.00,10156.90,10202.70,9928.10,15.65M,-0.02
7/9/19,9768.00,9973.90,10042.50,9768.00,13.30M,-0.02
7/10/19,9768.00,9790.90,9951.00,9745.10,7.89M,0.00
7/11/19,9859.50,9790.90,9905.30,9790.90,6.54M,0.01
7/12/19,10019.70,9928.10,10065.40,9905.30,7.09M,0.02
7/15/19,9813.80,10065.40,10065.40,9813.80,8.22M,-0.02
7/16/19,9882.40,9882.40,9905.30,9813.80,7.32M,0.01
7/17/19,9768.00,9905.30,9905.30,9745.10,11.50M,-0.01
7/18/19,9585.00,9768.00,9790.90,9539.30,17.86M,-0.02
7/19/19,9424.90,9607.90,9699.40,9333.40,23.55M,-0.02
7/22/19,9493.50,9424.90,9699.40,9287.60,14.50M,0.01
7/23/19,9928.10,9516.40,9951.00,9516.40,18.98M,0.05
7/24/19,9859.50,9928.10,9973.90,9790.90,7.79M,-0.01
7/25/19,10248.40,9836.60,10248.40,9836.60,19.95M,0.04
7/26/19,10317.00,10339.90,10545.80,10271.30,20.62M,0.01
7/29/19,10111.20,10317.00,10317.00,9951.00,14.65M,-0.02
7/30/19,9836.60,10111.20,10156.90,9836.60,12.87M,-0.03
7/31/19,10317.00,9790.90,10317.00,9745.10,13.77M,0.05
8/1/19,10339.90,10294.20,10408.50,10179.80,12.53M,0.00
8/2/19,10271.30,10156.90,10317.00,10111.20,15.04M,-0.01
8/5/19,10134.00,10225.50,10294.20,10065.40,12.98M,-0.01
8/6/19,9951.00,9859.50,10065.40,9859.50,11.90M,-0.02
8/7/19,10111.20,10019.70,10134.00,9973.90,7.34M,0.02
8/8/19,10660.20,10134.00,10660.20,10134.00,23.43M,0.05
8/9/19,10568.70,10705.90,10751.70,10522.90,7.76M,-0.01
8/12/19,10797.40,10568.70,10911.80,10568.70,17.12M,0.02
8/13/19,10728.80,10660.20,10934.70,10660.20,13.52M,-0.01
8/14/19,10728.80,10888.90,10888.90,10705.90,8.15M,0.00
8/15/19,10637.30,10522.90,10637.30,10431.40,14.49M,-0.01
8/16/19,10545.80,10637.30,10683.10,10477.20,18.65M,-0.01
8/19/19,10545.80,10522.90,10660.20,10500.00,5.35M,0.00
8/20/19,10477.20,10545.80,10660.20,10408.50,10.09M,-0.01
8/21/19,10614.40,10477.20,10637.30,10431.40,10.15M,0.01
8/22/19,10545.80,10660.20,10683.10,10522.90,6.98M,-0.01
8/23/19,10705.90,10637.30,10728.80,10568.70,11.34M,0.02
8/26/19,10431.40,10568.70,10591.60,10385.70,11.96M,-0.03
8/27/19,10248.40,10522.90,10545.80,10248.40,18.94M,-0.02
8/28/19,10179.80,10248.40,10294.20,10111.20,9.13M,-0.01
8/29/19,10134.00,10179.80,10179.80,10065.40,10.41M,0.00
8/30/19,10156.90,10134.00,10271.30,10088.30,7.01M,0.00
9/3/19,9905.30,10156.90,10202.70,9905.30,11.32M,-0.02
